time	V(ctle_out)	V(n_3p)
1.022252929687403e-009	3.214288e-004	-1.719508e-003
1.023595703124903e-009	1.414220e-004	-1.778985e-003
1.024938476562404e-009	-2.129760e-005	-1.788731e-003
1.026281249999905e-009	-1.667300e-004	-1.748746e-003
1.027624023437405e-009	-2.948753e-004	-1.659029e-003
1.028966796874906e-009	-4.057334e-004	-1.519582e-003
1.030309570312407e-009	-4.993043e-004	-1.330403e-003
1.031652343749907e-009	-5.755880e-004	-1.091494e-003
1.032611467633837e-009	-6.099842e-004	-9.040854e-004
1.033570591517766e-009	-6.331204e-004	-7.159495e-004
1.034529715401695e-009	-6.449966e-004	-5.270858e-004
1.035488839285624e-009	-6.456128e-004	-3.374945e-004
1.036447963169553e-009	-6.349690e-004	-1.471754e-004
1.037407087053482e-009	-6.130651e-004	4.387147e-005
1.038366210937411e-009	-5.799013e-004	2.356460e-004
1.039743861607054e-009	-5.102520e-004	4.869812e-004
1.041121512276698e-009	-4.354651e-004	6.982750e-004
1.042499162946342e-009	-3.555406e-004	8.695275e-004
1.043876813615985e-009	-2.704785e-004	1.000739e-003
1.045254464285628e-009	-1.802788e-004	1.091908e-003
1.046632114955272e-009	-8.494156e-005	1.143037e-003
1.048009765624916e-009	1.553329e-005	1.154124e-003
1.049474609374916e-009	1.095264e-004	1.105119e-003
1.050939453124917e-009	1.869943e-004	1.021191e-003
1.052404296874918e-009	2.479370e-004	9.023386e-004
1.053869140624919e-009	2.923546e-004	7.485620e-004
1.055333984374919e-009	3.202470e-004	5.598614e-004
1.056798828124920e-009	3.316143e-004	3.362366e-004
1.058263671874921e-009	3.264564e-004	7.768782e-005
1.059589006696350e-009	2.995965e-004	-1.746362e-004
1.060914341517779e-009	2.577704e-004	-4.319700e-004
1.062239676339209e-009	2.009780e-004	-6.943137e-004
1.063565011160638e-009	1.292193e-004	-9.616672e-004
1.064890345982067e-009	4.249442e-005	-1.234031e-003
1.066215680803496e-009	-5.919673e-005	-1.511404e-003
1.067541015624925e-009	-1.758541e-004	-1.793787e-003
1.068796595982069e-009	-3.000154e-004	-2.055008e-003
1.070052176339212e-009	-4.275838e-004	-2.287942e-003
1.071307756696356e-009	-5.585593e-004	-2.492590e-003
1.072563337053499e-009	-6.929419e-004	-2.668951e-003
1.073818917410643e-009	-8.307317e-004	-2.817026e-003
1.075074497767786e-009	-9.719287e-004	-2.936814e-003
1.076330078124930e-009	-1.116533e-003	-3.028316e-003
1.077812360491002e-009	-1.284996e-003	-3.064989e-003
1.079294642857074e-009	-1.428916e-003	-3.023441e-003
1.080776925223146e-009	-1.548292e-003	-2.903671e-003
1.082259207589218e-009	-1.643125e-003	-2.705679e-003
1.083741489955291e-009	-1.713414e-003	-2.429466e-003
1.085223772321363e-009	-1.759160e-003	-2.075032e-003
1.086706054687435e-009	-1.780363e-003	-1.642375e-003
1.087700055803507e-009	-1.766140e-003	-1.303891e-003
1.088694056919579e-009	-1.733097e-003	-9.456845e-004
1.089688058035651e-009	-1.681233e-003	-5.677572e-004
1.090682059151723e-009	-1.610549e-003	-1.701086e-004
1.091676060267795e-009	-1.521045e-003	2.472612e-004
1.092670061383867e-009	-1.412720e-003	6.843523e-004
1.093664062499938e-009	-1.285574e-003	1.141165e-003
1.094640624999939e-009	-1.139731e-003	1.596839e-003
1.095617187499939e-009	-9.805603e-004	2.039077e-003
1.096593749999940e-009	-8.080626e-004	2.467877e-003
1.097570312499940e-009	-6.222377e-004	2.883241e-003
1.098546874999941e-009	-4.230855e-004	3.285168e-003
1.099523437499941e-009	-2.106061e-004	3.673658e-003
1.100499999999942e-009	1.520048e-005	4.048711e-003
1.101633510044585e-009	2.913925e-004	4.443528e-003
1.102767020089229e-009	5.643654e-004	4.775693e-003
1.103900530133872e-009	8.341190e-004	5.045207e-003
1.105034040178515e-009	1.100653e-003	5.252070e-003
