time	V(sum)
6.533803710937493e-010	1.710170e-002
6.535024414062492e-010	1.714126e-002
6.536245117187492e-010	1.717993e-002
6.537465820312491e-010	1.721770e-002
6.538686523437491e-010	1.725456e-002
6.539907226562490e-010	1.729048e-002
6.541127929687490e-010	1.732542e-002
6.542348632812490e-010	1.735938e-002
6.543569335937489e-010	1.739233e-002
6.544790039062489e-010	1.742426e-002
6.546010742187488e-010	1.745517e-002
6.547231445312488e-010	1.748509e-002
6.548452148437487e-010	1.751408e-002
6.549672851562487e-010	1.754215e-002
6.550893554687487e-010	1.756926e-002
6.552114257812486e-010	1.759540e-002
6.553334960937486e-010	1.762057e-002
6.554555664062485e-010	1.764473e-002
6.555776367187485e-010	1.766786e-002
6.556997070312484e-010	1.768995e-002
6.558217773437484e-010	1.771100e-002
6.559438476562484e-010	1.773100e-002
6.560659179687483e-010	1.774997e-002
6.561879882812483e-010	1.776799e-002
6.563100585937482e-010	1.778503e-002
6.564321289062482e-010	1.780109e-002
6.565541992187481e-010	1.781616e-002
6.566762695312481e-010	1.783023e-002
6.567983398437481e-010	1.784327e-002
6.569204101562480e-010	1.785527e-002
6.570424804687480e-010	1.786622e-002
6.571645507812479e-010	1.787613e-002
6.572866210937479e-010	1.788499e-002
6.574086914062479e-010	1.789280e-002
6.575307617187478e-010	1.789955e-002
6.576528320312478e-010	1.790530e-002
6.577749023437477e-010	1.791009e-002
6.578969726562477e-010	1.791392e-002
6.580190429687476e-010	1.791677e-002
6.581411132812476e-010	1.791862e-002
6.582631835937476e-010	1.791949e-002
6.583852539062475e-010	1.791934e-002
6.585073242187475e-010	1.791818e-002
6.586293945312474e-010	1.791599e-002
6.587514648437474e-010	1.791279e-002
6.588735351562473e-010	1.790857e-002
6.589956054687473e-010	1.790334e-002
6.591176757812473e-010	1.789711e-002
6.592397460937472e-010	1.788986e-002
6.593618164062472e-010	1.788161e-002
6.594838867187471e-010	1.787237e-002
6.596059570312471e-010	1.786213e-002
6.597280273437470e-010	1.785094e-002
6.598500976562470e-010	1.783886e-002
6.599721679687470e-010	1.782586e-002
6.600942382812469e-010	1.781193e-002
6.602163085937469e-010	1.779707e-002
6.603383789062468e-010	1.778127e-002
6.604604492187468e-010	1.776453e-002
6.605825195312467e-010	1.774686e-002
6.607045898437467e-010	1.772826e-002
6.608266601562467e-010	1.770873e-002
6.609487304687466e-010	1.768828e-002
6.610708007812466e-010	1.766693e-002
6.611928710937465e-010	1.764468e-002
6.613149414062465e-010	1.762153e-002
6.614370117187464e-010	1.759750e-002
6.615590820312464e-010	1.757260e-002
6.616811523437464e-010	1.754683e-002
6.618032226562463e-010	1.752021e-002
6.619252929687463e-010	1.749274e-002
6.620473632812462e-010	1.746445e-002
6.621694335937462e-010	1.743533e-002
6.622915039062461e-010	1.740540e-002
6.624135742187461e-010	1.737467e-002
6.625356445312461e-010	1.734316e-002
6.626577148437460e-010	1.731087e-002
6.627797851562460e-010	1.727782e-002
6.629018554687459e-010	1.724396e-002
6.630239257812459e-010	1.720921e-002
6.631459960937459e-010	1.717362e-002
6.632680664062458e-010	1.713724e-002
6.633901367187458e-010	1.710011e-002
