time	V(n_3p)	V(sum)
7.887499999999987e-011	-1.382843e-009	-1.391763e-009
7.912499999999987e-011	-2.683689e-009	-2.689750e-009
7.937499999999987e-011	-4.008777e-009	-4.011805e-009
7.962499999999987e-011	-5.345977e-009	-5.345822e-009
7.987499999999987e-011	-6.682554e-009	-6.679087e-009
8.012499999999987e-011	-8.005264e-009	-7.998388e-009
8.037499999999987e-011	-9.300469e-009	-9.290114e-009
8.062499999999986e-011	-1.055425e-008	-1.054038e-008
8.087499999999986e-011	-1.175254e-008	-1.173515e-008
8.112499999999986e-011	-1.288125e-008	-1.286037e-008
8.137499999999986e-011	-1.392644e-008	-1.390214e-008
8.162499999999986e-011	-1.487441e-008	-1.484680e-008
8.187499999999986e-011	-1.571193e-008	-1.568115e-008
8.212499999999986e-011	-1.642633e-008	-1.639257e-008
8.237499999999986e-011	-1.700568e-008	-1.696916e-008
8.262499999999986e-011	-1.743895e-008	-1.739993e-008
8.287499999999986e-011	-1.771616e-008	-1.767495e-008
8.312499999999986e-011	-1.782852e-008	-1.778544e-008
8.337499999999985e-011	-1.776856e-008	-1.772398e-008
8.362499999999985e-011	-1.753030e-008	-1.748462e-008
8.387499999999985e-011	-1.710931e-008	-1.706296e-008
8.412499999999985e-011	-1.650290e-008	-1.645630e-008
8.437499999999985e-011	-1.571010e-008	-1.566374e-008
8.462499999999985e-011	-1.473186e-008	-1.468621e-008
8.487499999999985e-011	-1.357101e-008	-1.352656e-008
8.512499999999985e-011	-1.223235e-008	-1.218959e-008
8.537499999999985e-011	-1.072266e-008	-1.068210e-008
8.562499999999985e-011	-9.050705e-009	-9.012814e-009
8.587499999999985e-011	-7.227179e-009	-7.192440e-009
8.612499999999985e-011	-5.264699e-009	-5.233573e-009
8.637499999999984e-011	-3.177717e-009	-3.150641e-009
8.662499999999984e-011	-9.824307e-010	-9.598135e-010
8.687499999999984e-011	1.303324e-009	1.321107e-009
8.712499999999984e-011	3.660211e-009	3.672823e-009
8.737499999999984e-011	6.067545e-009	6.074691e-009
8.762499999999984e-011	8.503464e-009	8.504897e-009
8.787499999999984e-011	1.094512e-008	1.094064e-008
8.812499999999984e-011	1.336887e-008	1.335835e-008
8.837499999999984e-011	1.575054e-008	1.573389e-008
8.862499999999984e-011	1.806559e-008	1.804278e-008
8.887499999999984e-011	2.028940e-008	2.026047e-008
8.912499999999983e-011	2.239749e-008	2.236255e-008
8.937499999999983e-011	2.436581e-008	2.432502e-008
8.962499999999983e-011	2.617094e-008	2.612452e-008
8.987499999999983e-011	2.779038e-008	2.773861e-008
9.012499999999983e-011	2.920275e-008	2.914600e-008
9.037499999999983e-011	3.038810e-008	3.032676e-008
9.062499999999983e-011	3.132809e-008	3.126262e-008
9.087499999999983e-011	3.200619e-008	3.193711e-008
9.112499999999983e-011	3.240796e-008	3.233582e-008
9.137499999999983e-011	3.252118e-008	3.244658e-008
9.162499999999983e-011	3.233600e-008	3.225959e-008
9.187499999999983e-011	3.184517e-008	3.176761e-008
9.212499999999982e-011	3.104409e-008	3.096607e-008
9.237499999999982e-011	2.993095e-008	2.985320e-008
9.262499999999982e-011	2.850681e-008	2.843005e-008
9.287499999999982e-011	2.677562e-008	2.670059e-008
9.312499999999982e-011	2.474430e-008	2.467172e-008
9.337499999999982e-011	2.242268e-008	2.235329e-008
9.362499999999982e-011	1.982350e-008	1.975802e-008
9.387499999999982e-011	1.696238e-008	1.690148e-008
9.412499999999982e-011	1.385767e-008	1.380203e-008
9.437499999999982e-011	1.053040e-008	1.048064e-008
9.462499999999982e-011	7.004101e-009	6.960822e-009
9.487499999999982e-011	3.304690e-009	3.268430e-009
9.512499999999981e-011	-5.397598e-010	-5.685079e-010
9.537499999999981e-011	-4.499202e-009	-4.520003e-009
9.562499999999981e-011	-8.541847e-009	-8.554327e-009
9.587499999999981e-011	-1.263441e-008	-1.263826e-008
9.612499999999981e-011	-1.674238e-008	-1.673737e-008
9.637499999999981e-011	-2.083029e-008	-2.081623e-008
9.662499999999981e-011	-2.486198e-008	-2.483880e-008
9.687499999999981e-011	-2.880096e-008	-2.876864e-008
9.712499999999981e-011	-3.261067e-008	-3.256927e-008
9.737499999999981e-011	-3.625479e-008	-3.620445e-008
9.762499999999981e-011	-3.969758e-008	-3.963854e-008
9.787499999999980e-011	-4.290419e-008	-4.283674e-008
9.812499999999980e-011	-4.584097e-008	-4.576547e-008
9.837499999999980e-011	-4.847575e-008	-4.839266e-008
9.862499999999980e-011	-5.077820e-008	-5.068805e-008
9.887499999999980e-011	-5.272007e-008	-5.262346e-008
9.912499999999980e-011	-5.427550e-008	-5.417308e-008
9.937499999999980e-011	-5.542126e-008	-5.531376e-008
9.962499999999980e-011	-5.613702e-008	-5.602521e-008
9.987499999999980e-011	-5.640556e-008	-5.629028e-008
1.001249999999998e-010	-5.621298e-008	-5.609510e-008
1.003749999999998e-010	-5.554890e-008	-5.542934e-008
1.006249999999998e-010	-5.440659e-008	-5.434645e-008
1.007500000000000e-010	-5.365501e-008	-5.359486e-008
1.010000000000000e-010	-5.179097e-008	-5.179097e-008
1.010250000000000e-010	-5.157575e-008	-5.157415e-008
1.010750000000000e-010	-5.113574e-008	-5.112620e-008
1.011750000000000e-010	-5.019850e-008	-5.016069e-008
1.013750000000000e-010	-4.809714e-008	-4.800408e-008
1.016250000000000e-010	-4.505167e-008	-4.499452e-008
1.017500000000000e-010	-4.335747e-008	-4.330232e-008
1.020000000000000e-010	-3.963817e-008	-3.963817e-008
1.020250000000000e-010	-3.924016e-008	-3.923875e-008
1.020750000000000e-010	-3.843567e-008	-3.842730e-008
1.021750000000000e-010	-3.677648e-008	-3.674398e-008
1.023750000000000e-010	-3.326310e-008	-3.318553e-008
1.026250000000000e-010	-2.852230e-008	-2.843186e-008
1.028750000000000e-010	-2.341976e-008	-2.333737e-008
1.031250000000000e-010	-1.798766e-008	-1.791417e-008
1.033750000000000e-010	-1.226162e-008	-1.219785e-008
1.036250000000000e-010	-6.280483e-009	-6.227153e-009
1.038750000000000e-010	-8.602567e-011	-4.381408e-011
1.041250000000000e-010	6.277278e-009	6.307775e-009
1.043750000000000e-010	1.276257e-008	1.278084e-008
1.046250000000000e-010	1.932094e-008	1.932655e-008
1.048750000000000e-010	2.590176e-008	2.589438e-008
1.051250000000000e-010	3.245307e-008	3.243246e-008
1.053750000000000e-010	3.892196e-008	3.888799e-008
1.056250000000000e-010	4.525498e-008	4.520762e-008
1.058750000000000e-010	5.139856e-008	5.133788e-008
1.061250000000000e-010	5.729941e-008	5.722559e-008
1.063750000000000e-010	6.290500e-008	6.281834e-008
1.066250000000000e-010	6.816396e-008	6.806486e-008
1.068750000000000e-010	7.302652e-008	7.291549e-008
1.071250000000000e-010	7.744496e-008	7.732261e-008
1.073750000000000e-010	8.137400e-008	8.124105e-008
1.076250000000000e-010	8.477126e-008	8.462853e-008
1.078750000000000e-010	8.759760e-008	8.744599e-008
1.081250000000000e-010	8.981751e-008	8.965803e-008
1.083750000000000e-010	9.139951e-008	9.123323e-008
1.086250000000000e-010	9.231640e-008	9.214448e-008
1.088750000000000e-010	9.254563e-008	9.236929e-008
1.091250000000000e-010	9.206951e-008	9.189003e-008
1.093750000000000e-010	9.087547e-008	9.069418e-008
1.096250000000000e-010	8.895626e-008	8.877452e-008
1.098750000000000e-010	8.631007e-008	8.612928e-008
1.101250000000000e-010	8.294068e-008	8.276223e-008
1.103750000000000e-010	7.885749e-008	7.868280e-008
1.106250000000000e-010	7.407557e-008	7.390606e-008
1.108750000000000e-010	6.861562e-008	6.845269e-008
1.111250000000000e-010	6.250395e-008	6.234895e-008
1.113750000000000e-010	5.577230e-008	5.562656e-008
1.116250000000000e-010	4.845771e-008	4.832252e-008
1.118750000000000e-010	4.060234e-008	4.047890e-008
1.121250000000000e-010	3.225320e-008	3.214266e-008
1.123750000000000e-010	2.346187e-008	2.336528e-008
1.126250000000000e-010	1.428416e-008	1.420249e-008
1.128750000000000e-010	4.779764e-009	4.713886e-009
1.131250000000000e-010	-4.988143e-009	-5.037466e-009
1.133750000000000e-010	-1.495334e-008	-1.498546e-008
1.136250000000000e-010	-2.504702e-008	-2.506142e-008
1.138750000000000e-010	-3.519827e-008	-3.519454e-008
1.141250000000000e-010	-4.533457e-008	-4.531244e-008
1.143750000000000e-010	-5.538233e-008	-5.534166e-008
1.146250000000000e-010	-6.526740e-008	-6.520819e-008
1.148750000000000e-010	-7.491563e-008	-7.483803e-008
1.151250000000000e-010	-8.425344e-008	-8.415770e-008
1.153750000000000e-010	-9.320829e-008	-9.309483e-008
1.156250000000000e-010	-1.017093e-007	-1.015787e-007
1.158750000000000e-010	-1.096878e-007	-1.095406e-007
1.161250000000000e-010	-1.170777e-007	-1.169148e-007
1.163750000000000e-010	-1.238162e-007	-1.236385e-007
1.166250000000000e-010	-1.298440e-007	-1.296526e-007
1.168750000000000e-010	-1.351061e-007	-1.349021e-007
1.171250000000000e-010	-1.395521e-007	-1.393366e-007
1.173750000000000e-010	-1.431363e-007	-1.429107e-007
1.176250000000000e-010	-1.458184e-007	-1.455842e-007
